NUDT15_allelec	AFR	AMR	SAS	EAS	NFE	ALL
*1*1	1.00E-12	1.00E-12	0.8649	0.772641	0.986049	5.20E-01
*1*2	1.00E-12	1.00E-12	9.30E-07	0.030765	9.93E-07	8.01E-03
*1*3	1.00E-12	1.00E-12	0.06231	0.053619	0.001986	1.52E-02
*1*4	1.00E-12	1.00E-12	9.30E-07	0.000879	9.93E-07	1.55E-03
*1*5	1.00E-12	1.00E-12	9.30E-07	0.009669	9.93E-07	1.61E-03
*1*6	1.00E-12	1.00E-12	0.00186	0.011427	0.002979	2.96E-03
*1*7	1.00E-12	1.00E-12	9.30E-07	0.000879	9.93E-07	1.47E-04
*1*8	1.00E-12	1.00E-12	9.30E-07	8.79E-07	9.93E-07	5.50E-07
*1*9	1.00E-12	1.00E-12	9.30E-07	8.79E-07	0.001986	4.97E-04
*2*1	1.00E-12	1.00E-12	9.30E-07	0.030765	9.93E-07	8.01E-03
*2*2	1.00E-12	1.00E-12	1.00E-12	0.001225	1.00E-12	3.18E-04
*2*3	1.00E-12	1.00E-12	6.70E-08	0.002135	2.00E-09	3.81E-04
*2*4	1.00E-12	1.00E-12	1.00E-12	3.50E-05	1.00E-12	6.13E-05
*2*5	1.00E-12	1.00E-12	1.00E-12	0.000385	1.00E-12	6.42E-05
*2*6	1.00E-12	1.00E-12	2.00E-09	0.000455	3.00E-09	8.20E-05
*2*7	1.00E-12	1.00E-12	1.00E-12	3.50E-05	1.00E-12	5.84E-06
*2*8	1.00E-12	1.00E-12	1.00E-12	3.50E-08	1.00E-12	8.92E-09
*2*9	1.00E-12	1.00E-12	1.00E-12	3.50E-08	2.00E-09	9.42E-09
*3*1	1.00E-12	1.00E-12	0.06231	0.053619	0.001986	1.52E-02
*3*2	1.00E-12	1.00E-12	6.70E-08	0.002135	2.00E-09	3.81E-04
*3*3	1.00E-12	1.00E-12	0.004489	0.003721	4.00E-06	1.00E-03
*3*4	1.00E-12	1.00E-12	6.70E-08	6.10E-05	2.00E-09	2.22E-05
*3*5	1.00E-12	1.00E-12	6.70E-08	0.000671	2.00E-09	1.12E-04
*3*6	1.00E-12	1.00E-12	0.000134	0.000793	6.00E-06	1.46E-04
*3*7	1.00E-12	1.00E-12	6.70E-08	6.10E-05	2.00E-09	1.02E-05
*3*8	1.00E-12	1.00E-12	6.70E-08	6.10E-08	2.00E-09	1.69E-08
*3*9	1.00E-12	1.00E-12	6.70E-08	6.10E-08	4.00E-06	1.02E-06
*4*1	1.00E-12	1.00E-12	9.30E-07	0.000879	9.93E-07	1.55E-03
*4*2	1.00E-12	1.00E-12	1.00E-12	3.50E-05	1.00E-12	6.13E-05
*4*3	1.00E-12	1.00E-12	6.70E-08	6.10E-05	2.00E-09	2.22E-05
*4*4	1.00E-12	1.00E-12	1.00E-12	1.00E-06	1.00E-12	2.72E-05
*4*5	1.00E-12	1.00E-12	1.00E-12	1.10E-05	1.00E-12	1.83E-06
*4*6	1.00E-12	1.00E-12	2.00E-09	1.30E-05	3.00E-09	5.17E-06
*4*7	1.00E-12	1.00E-12	1.00E-12	1.00E-06	1.00E-12	1.68E-07
*4*8	1.00E-12	1.00E-12	1.00E-12	1.00E-09	1.00E-12	1.67E-09
*4*9	1.00E-12	1.00E-12	1.00E-12	1.00E-09	2.00E-09	2.17E-09
*5*1	1.00E-12	1.00E-12	9.30E-07	0.009669	9.93E-07	1.61E-03
*5*2	1.00E-12	1.00E-12	1.00E-12	0.000385	1.00E-12	6.42E-05
*5*3	1.00E-12	1.00E-12	6.70E-08	0.000671	2.00E-09	1.12E-04
