gene_symbol	gene_length
BNC2-AS1	428
RNA5SP283	119
RNU6-613P	108
RNA5SP284	118
RNA5SP285	119
RNA5SP286	106
JAG1	17270
RNA5SP287	103
JAG2	15402
RNU6-879P	108
RNA5SP288	93
RNU6-747P	104
SDCBP	18312
RNA5SP289	137
CFAP97P1	483
FER1L6-AS1	2315
FER1L6-AS2	8596
NPPA	1583
SPRED1	8974
NPPB	708
HAAO	7027
SPRED2	10781
NPPC	1555
GGTA1	10878
SPRED3	21485
NATP	878
TYROBP	4807
RN7SL372P	298
MEIS3P1	958
MEIS3P2	1075
PRSS21	7720
PRSS22	6679
OR7E41P	1024
RNU6-718P	105
PRSS23	16367
MIR4330	105
PODNL1	15937
PDYN	11941
PRSS27	9441
FAM222A	6873
VEGFA	47670
FAM222B	50515
VEGFB	4397
SNORD35A	86
CEP112	22477
STAG3L5P-PVRIG2P-PILRB	8535
RPL17P10	555
VEGFC	3018
TCHHL1	3606
SNORD35B	87
RN7SL475P	298
RPL17P11	544
VEGFD	2669
RN7SL343P	261
RPL17P12	526
RPL17P13	531
CENPVL1	1620
RPL17P14	515
CENPVL2	1620
ACSM5P1	2438
OR7E12P	973
RPL17P15	542
CENPVL3	1893
RAI1-AS1	724
PLXNB1	36349
PLXNB2	26560
RPL17P17	557
RNU2-63P	194
PLXNB3	17134
CD46P1	763
RPL17P19	552
HSFY3P	1838
MRPS10	2100
MRPS11	11471
SLC22A10	12229
CNBD1	5356
TOR1A	8035
MRPS12	3749
CNBD2	10783
SLC22A11	14217
EXPH5	28671
COL3A1	12539
TOR1B	4619
RN7SL578P	283
SLC22A12	12654
AKIP1	10534
MRPS14	3564
RN7SL446P	296
SLC22A13	5761
CDK7P1	693
RN7SL314P	292
MRPS15	5225
SLC22A14	7159
MRPS16	7295
SLC22A15	6425
IGKV3OR2-5	281
MRPS17	2504
SLC22A16	11106
SLC22A17	16702
C2CD4D-AS1	506
SLC22A18	14257
VN1R78P	564
RN7SL1	299
TRGJP1	60
RNU2-34P	121
LDLR	29428
RN7SL2	300
TRGJP2	60
TMEM140	2389
RN7SL3	299
TMEM141	3970
TRIM53AP	1544
NUCB1-AS1	433
RPS24P21	386
RNU6-672P	107
TMEM143	13285
RNU6-540P	101
TMEM144	23655
MIR320B1	79
TMEM145	10019
MIR320B2	138
RN7SL549P	282
RN7SL417P	265
CD14	4927
TMEM147	8161
LINC00992	1495
LINC00993	2010
COL20A1	26776
MICOS10	12472
NUP188	13299
LINC00994	2129
CD19	7599
LINC00996	4355
MICOS13	3876
LINC00997	2646
MSMB	1792
HAGLR	32893
ST8SIA1	22646
ST8SIA2	8549
RNU6-643P	107
ST8SIA3	11108
RNU6-511P	107
ST8SIA4	9329
TMEM14A	988
ST8SIA5	34754
TMEM14B	14699
POM121L3P	1163
ST8SIA6	9430
CD1A	1809
TMEM14C	4043
RNU6-777P	104
CYP27C1	11810
CD1B	2415
EIF5A2P1	460
DPYD-IT1	401
OPRK1	14746
FOXC1	3983
CD1C	3297
FOXC2	2900
CD1D	19650
CD1E	16173
B3GAT1	20152
RNA5SP290	127
B3GAT2	11793
RNA5SP291	105
B3GAT3	7606
NDUFA9P1	1135
ITM2BP1	664
LYG1	2049
RNA5SP292	118
DDX59-AS1	736
MSMP	1192
RPL23P2	421
MPND	10012
GGNBP1	4281
LYG2	4068
RNA5SP293	113
RNU6-614P	107
GGNBP2	16146
RNA5SP294	99
RPL23P4	416
PAQR9-AS1	8647
RNA5SP295	121
RPL23P5	421
RNA5SP296	111
RNA5SP297	113
RNA5SP298	111
FAM181A-AS1	5377
RNU6-748P	107
RPL23P8	428
THBS4-AS1	7855
RNA5SP299	116
SLC23A4P	3159
WSPAR	683
KCNRG	2960
LIMS1-AS1	477
ARL2BPP10	531
MIR4632	61
LMNB1	12342
LMNB2	8306
MIR4633	79
MIR4634	54
DDX60L	33000
FAM120A	13559
APOA1-AS	1519
MIR4635	79
FAM120B	14621
MIR4636	80
FAM120C	13549
SNORD65B	73
SNRNP25	6130
MIR4637	84
SNORD65C	71
MYL1	3308
MIR4638	68
VPS9D1	8395
MYL2	3116
MIR4639	69
SNRNP27	4470
MYL3	8707
EDRF1-AS1	8329
RNU6-719P	104
MYL4	7329
PRSS33	7511
MYL5	9409
MYL6	15426
PRSS35	2444
AMIGO1	7359
PRSS36	13687
AMIGO2	10045
MYL7	5311
OPTC	1994
RN7SL210P	288
VIPR1	24570
PRSS37	4773
AMIGO3	2856
MYL9	3810
VIPR2	7988
FAM223A	1421
PRSS38	1267
CEP120	103043
COL6A1	13361
TSPY9P	945
CSTP1	1555
DUXAP10	17470
FAM223B	1421
COL6A2	16111
CSTP2	398
DUXAP11	526
RPL17P20	555
SNORD36A	73
CHURC1-FNTB	4039
SNORD36B	74
COL6A3	63882
ARHGEF35-AS1	13090
RN7SL344P	296
RPL17P22	553
SNORD36C	66
COL6A5	15914
GLIS2-AS1	340
KANK1	196523
COL6A6	13820
CEP126	23583
KANK2	21015
NOP10	943
OR7E13P	910
RPL17P25	555
KANK3	6555
LIN52	6635
CEP128	23318
PLXNC1	17883
RPL17P26	553
OPTN	22526
KANK4	12705
RNU2-64P	191
LIN54	30944
NR5A1	7643
NOP14	12406
HSFY4P	1181
NR5A2	16578
ERVH48-1	2774
MRPS21	2547
RNU6-570P	105
NOP16	7745
TOR2A	14351
WRAP53	18333
NPY1R	6994
MRPS22	70936
MRPS23	7411
MRPS24	4258
RN7SL447P	245
SLC22A23	27580
MRPS25	9648
SLC22A24	5862
MRPS26	1016
MYLK	189222
MARCKS	4296
SLC22A25	15041
MRPS27	18160
BATF2	8383
COL23A1	19045
IGHVII-30-21	257
TTC41P	11787
MRPS28	4986
BATF3	3798
MAS1	20722
VN1R79P	513
RNU2-35P	142
RPS2P1	821
NQO2-AS1	3464
RPS2P2	601
TRIM53BP	1720
RNU6-673P	104
SUGT1P1	476
RNU6-541P	110
RPS2P4	856
AARS1P1	453
SUGT1P2	992
CD22	36827
MIR320C1	88
SUGT1P3	2816
RPS2P5	879
RUSC1-AS1	5894
TMEM154	12709
MIR320C2	50
RPS2P6	895
SUGT1P4	134
RPS2P7	885
MIR5087	76
CD24	8731
TMEM156	3942
RN7SL418P	287
MIR5088	79
MIR5089	84
VTRNA3-1P	102
TMEM158	1822
CD27	2290
NAV1	64462
CD28	9952
NAV2	56162
NAV3	43387
KCNS1	9985
KCNS2	9628
RPL26P3	453
RNU6-644P	98
KCNS3	6436
PDHA1	19219
RNU6-512P	103
PDHA2	1372
RPL26P6	438
WASHC5-AS1	587
POM121L4P	3178
SIRPA	17218
RNU6-778P	103
NPR1	6364
OPRL1	13049
PHBP1	808
FOXD1	2918
RPL26P9	433
MMP1	6786
NPR2	87701
SIRPD	2059
MMP2	13696
PHBP2	806
FOXD2	2648
NPR3	21105
OST4	1459
PHBP3	819
FOXD3	2562
SCGB1A1	909
MMP3	2677
PHBP4	837
FOXD4	2187
SIRPG	7841
PHBP5	768
PHBP6	786
PHBP7	814
MMP7	3511
CYP11A1	11071
PHBP8	725
RNU6-615P	106
MMP8	8705
MMP9	2336
PHBP9	825
IL1R1-AS1	382
HIVEP1	33471
MEAF6	14528
HIVEP2	30144
HIVEP3	43897
PGBD4P1	407
PGBD4P2	615
RNU6-749P	107
PGBD4P3	581
MFSD1	25301
PGBD4P4	613
PGBD4P5	426
MIR4640	90
MFSD3	4686
PGBD4P6	610
