gene_name	nm_name
ABCA12	NM_173076
ABCA13	NM_152701
ABCB1	NM_001348946
ABCC12	NM_001393797
ABCC2	NM_000392
ABI1	NM_001012750
ABL1	NM_005157
ABL2	NM_007314
ABRAXAS1	NM_139076
ACBD5	NM_145698
ACD	NM_001082486
ACSL3	NM_004457
ACSL6	NM_001009185
ACTB	NM_001101
ACVR1	NM_001111067
ACVR1B	NM_004302
ACVR2A	NM_001616
ADA2	NM_001282225
ADAM21	NM_003813
ADAMTSL1	NM_001040272
ADGRA2	NM_032777
ADGRG4	NM_153834
ADGRV1	NM_032119
ADPRH	NM_001125
AFDN	NM_001386888
AFF1	NM_001166693
AFF2	NM_002025
AFF3	NM_001386135
AFF4	NM_014423
AGO1	NM_012199
AGO2	NM_012154
AHNAK	NM_001620
AHNAK2	NM_138420
AKAP3	NM_001278309
AKAP9	NM_005751
AKT1	NM_001014431
AKT2	NM_001626
AKT3	NM_005465
ALB	NM_000477
ALDH1A1	NM_000689
ALK	NM_004304
ALOX12B	NM_001139
ALOX5	NM_000698
AMER1	NM_152424
ANK2	NM_001148
ANK3	NM_020987
ANKLE1	NM_152363
ANKRD11	NM_013275
AP5M1	NM_018229
APBB1	NM_001164
APC	NM_000038
APCDD1	NM_153000
APEX2	NM_014481
APLNR	NM_005161
APOB	NM_000384
APP	NM_000484
AQP7	NM_001170
AR	NM_000044
ARAF	NM_001654
ARFGEF1	NM_006421
ARFRP1	NM_001267547
ARHGAP26	NM_001135608
ARHGAP32	NM_001378024
ARHGAP35	NM_004491
ARHGEF12	NM_015313
ARHGEF16	NM_014448
ARHGEF28	NM_001177693
ARID1A	NM_006015
ARID1B	NM_020732
ARID2	NM_152641
ARID4A	NM_002892
ARID4B	NM_016374
ARID5A	NM_212481
ARID5B	NM_032199
ARMC5	NM_001105247
ARNT	NM_001668
ARRB2	NM_004313
ARRDC3	NM_020801
ASH1L	NM_018489
ASMTL	NM_004192
ASPSCR1	NM_024083
ASTE1	NM_014065
ASXL1	NM_015338
ASXL2	NM_018263
ASXL3	NM_030632
ATF1	NM_005171
ATM	NM_000051
ATN1	NM_001940
ATP13A3	NM_001367549
ATP1A1	NM_000701
ATP2B2	NM_001001331
ATP2B3	NM_001001344
ATR	NM_001184
ATRIP	NM_130384
ATRX	NM_000489
ATXN2	NM_002973
ATXN7	NM_000333
AURKA	NM_003600
AURKB	NM_004217
AURKC	NM_001015878
AXIN1	NM_003502
AXIN2	NM_004655
AXL	NM_021913
B2M	NM_004048
BABAM1	NM_001033549
BABAM2	NM_199191
BACH1	NM_001186
BACH2	NM_001170794
BAK1	NM_001188
BAP1	NM_004656
BARD1	NM_000465
BAX	NM_138761
BAZ1B	NM_032408
BBC3	NM_001127240
BCL10	NM_003921
BCL11A	NM_022893
BCL11B	NM_138576
BCL2	NM_000633
BCL2A1	NM_004049
BCL2L1	NM_138578
BCL2L11	NM_138621
BCL2L2	NM_004050
BCL6	NM_001706
BCL9	NM_004326
BCL9L	NM_001378213
BCLAF1	NM_014739
BCOR	NM_001123385
BCORL1	NM_021946
BCR	NM_004327
BDKRB1	NM_000710
BEND3	NM_001367314
BIRC2	NM_001166
BIRC3	NM_182962
BIRC5	NM_001168
BIRC7	NM_139317
BLK	NM_001715
BLM	NM_000057
BMP7	NM_001719
BMPR1A	NM_004329
BMS1	NM_014753
BMX	NM_203281
BPTF	NM_182641
BRAF	NM_004333
BRCA1	NM_007294
BRCA2	NM_000059
BRCC3	NM_001018055
BRD3	NM_007371
BRD4	NM_058243
BRD8	NM_139199
BRIP1	NM_032043
BRPF3	NM_015695
BRSK1	NM_032430
BRWD1	NM_033656
BSN	NM_003458
BSND	NM_057176
BTC	NM_001729
BTG1	NM_001731
BTG2	NM_006763
BTK	NM_000061
BUB1	NM_004336
BUB1B	NM_001211
C11orf30	XM_005274106
C1QBP	NM_001212
C1QTNF5	NM_001278431
C1S	NM_001734
C2orf16	NM_032266
C8orf34	NM_052958
C9orf16	NM_024112
CACNA1A	NM_001127222
CACNA1C	NM_001167623
CACNA1D	NM_000720
CACNA1E	NM_001205293
CAD	NM_004341
CALR	NM_004343
CAMK2G	NM_001367534
CAMTA1	NM_015215
CANT1	NM_001159773
CARD11	NM_032415
CARM1	NM_199141
