CYP2D6 Allele	Sub-Saharan African Allele Frequency	African American/Afro-Caribbean Allele Frequency	European Allele Frequency	Near Eastern Allele Frequency	East Asian Allele Frequency	Central/South Asian Allele Frequency	American Allele Frequency	Latino Allele Frequency	Oceanian Allele Frequency
*1	0.0779	0.2006	0.1896	0.2488	0.2416	0.2871	0.5111	0.3646	0.7251
*1x2	0.0112	0.0081	0.0083	0.0315	0.0034	0.0056	0.0286	0.0151	0.1189
*1≥3			0.0030					0.0005	
*2	0.1983	0.1557	0.2765	0.1900	0.1205	0.2948	0.2208	0.2268	0.0392
*2x2	0.0173	0.0188	0.0084	0.0331	0.0045	0.0095	0.0061	0.0118	0.0000
*2≥3								0.0005	
*3	0.0015	0.0032	0.0159	0.0043	0.0001	0.0011	0.0002	0.0072	0.0010
*3x2		0.0000	0.0001					0.0005	
*4	0.0338	0.0482	0.1854	0.1141	0.0054	0.0906	0.1024	0.1205	0.0180
*4≥2	0.0153	0.0265	0.0066	0.0032	0.0000	0.0009	0.0011	0.0040	0.0000
*6	0.0000	0.0029	0.0111	0.0054	0.0002	0.0000	0.0025	0.0051	0.0000
*6x2		0.0001	0.0000	0.0000	0.0000		0.0000	0.0001	
*7	0.0000	0.0003	0.0005	0.0029	0.0001	0.0055	0.0050	0.0000	0.0000
*8	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0010	0.0000	0.0000
*9	0.0000	0.0044	0.0276	0.0038	0.0019	0.0030	0.0044	0.0155	0.0000
*9x2		0.0000	0.0001					0.0000	
*10	0.0557	0.0382	0.0157	0.0677	0.4356	0.0867	0.0144	0.0263	0.0252
*10x2	0.0000	0.0012	0.0001	0.0023	0.0061	0.0000	0.0000	0.0017	0.0000
*11		0.0000	0.0002	0.0000	0.0000		0.0000	0.0000	0.0000
*12	0.0026	0.0008	0.0002	0.0000	0.0000		0.0170		
*14 		0.0000	0.0000		0.0030		0.0000	0.0000	0.0000
*15	0.0057	0.0000	0.0005	0.0000	0.0001		0.0024	0.0000	0.0000
*17	0.1929	0.1688	0.0039	0.0310	0.0001	0.0007	0.0048	0.0233	0.0010
*17x2		0.0020	0.0000	0.0000	0.0000		0.0000	0.0088	
*18		0.0000	0.0000	0.0000	0.0013				
*19	0.0000	0.0000	0.0003	0.0000	0.0000				0.0022
*20		0.0000	0.0000	0.0000	0.0000				0.0000
*21			0.0000	0.0000	0.0035				
*22				0.0000	0.0000				
*23				0.0000	0.0000				
*24		0.0000		0.0000	0.0000				
*25		0.0000	0.0000	0.0000	0.0000				0.0000
*26		0.0000	0.0000	0.0000	0.0000				0.0000
*27	0.0051			0.0070	0.0007				
*28	0.0000		0.0000	0.0000	0.0003		0.0009		
*29	0.1211	0.0880	0.0011	0.0078	0.0001	0.0027	0.0019	0.0152	0.0000
*29x2		0.0011	0.0000		0.0000			0.0002	
*30	0.0000	0.0000	0.0000	0.0000	0.0000				0.0000
*31		0.0000	0.0012	0.0000	0.0000	0.0000		0.0075	0.0000
*32	0.0026			0.0000	0.0000				
*33			0.0190	0.0000	0.0003		0.0017		
*34			0.0191		0.0102			0.0005	0.0018
*35	0.0000	0.0088	0.0548	0.0222	0.0006	0.0121	0.0097	0.0266	0.0000
*35x2	0.0000	0.0001	0.0006	0.0000	0.0000		0.0000	0.0009	
*36		0.0053	0.0002	0.0000	0.0122	0.0000		0.0020	0.0000
*36x2		0.0001	0.0000		0.0045			0.0005	
*37				0.0000	0.0000				
*38			0.0000	0.0000	0.0000				
*39	0.0000	0.0268	0.0163	0.0268	0.0059	0.0020		0.0080	0.0063
*40	0.0131	0.0048	0.0011	0.0000	0.0000	0.0000			0.0000
*41	0.1147	0.0372	0.0924	0.1536	0.0227	0.1230	0.0233	0.0510	0.0075
*41x2	0.0023	0.0006	0.0003	0.0044	0.0003	0.0009	0.0000	0.0001	0.0000
*41x3									
*42		0.0047	0.0000	0.0000	0.0000	0.0030			
*43	0.0167	0.0056	0.0000	0.0030	0.0005				
*43x2									
*44			0.0000	0.0000	0.0004				
*45	0.0418	0.0677		0.0000	0.0000				
*45x2		0.0013	0.0000		0.0000			0.0000	
*46	0.0017	0.0112		0.0030	0.0000				
*47				0.0000	0.0004				
*48				0.0000	0.0002				
*49	0.0000			0.0000	0.0105				
*50	0.0000		0.0000	0.0000	0.0004				
*51				0.0000	0.0005				
*52	0.0077			0.0000	0.0018				
*53	0.0000			0.0000	0.0002			0.0050	
*54			0.0000	0.0000	0.0004				
*55				0.0000	0.0002				
*56		0.0019	0.0014	0.0000	0.0000	0.0000			
*57				0.0000	0.0000				
*58	0.0000	0.0012	0.0000	0.0000	0.0000				
*59			0.0065	0.0000	0.0000				
*62									
*64	0.0000			0.0000	0.0000				
*65	0.0000			0.0000	0.0295				
*69				0.0000	0.0117				
*70	0.0000		0.0000	0.0000	0.0000				
*71	0.0000			0.0000	0.0012				0.0090
*72									
*73	0.0048			0.0000	0.0000				
*74	0.0048			0.0000	0.0000				
*75					0.0003				
*81									
*82				0.0000	0.0000	0.0050	0.0250	0.0210	
*83									
*84					0.0000				
*85					0.0000				
*86					0.0002	0.0140			
*87									
*88									
*89									
*90									
*91									
*92									
*93									
*94									
*95									
*96									
*97									
*98									
*99									
*100		0.0000				0.0030			
*101		0.0000				0.0030			
*102				0.0033	0.0000				
*103				0.0033	0.0000				
*104				0.0033	0.0000				
*105				0.0060	0.0000				
*106									
*107									
*108									
*109									
*110									
*111									
*112									
*113									
*114					0.0008				
*115									
*116									
*117									
*118									
*119									
*120									
*121									
*122									
*123									
*124									
*125									
*126									
*127									
*128									
*129									
*130									
*131									
*132									
*133									
*134									
*135									
*136									
*137									
*138									
*139									
